TRAINING DATASET	HUMAN ENTREZ	MOUSE ENTREZ	MAPPING	SYM	SYNONYMS	DESCRIPTION	TARGETP	YEASTMITOHOMOLOG	RICKETTSIA_BLASTP_EXPECT	MITODOMAIN	PGC_INDUCTION	COEXPRESSION_GNF_N50	PROTEOMICS	MAESTRO_SCORE	MITOCARTA_cFDR	MITOCARTA_LIST	MCARTA_TYPE	NUM_MSMS_TISSUES	CHOMOSOME	START	STOP	PFAM_DOMAINS
	29943	18599	HomoloGene	PADI1	HPAD10|PDI|PDI1	"peptidyl arginine deiminase, type I"	5			-1	0	0		-9	87%	0			1	17404216	17443941	PAD_N | PAD | PAD_M
	51702	18601	HomoloGene	PADI3	MGC126307|MGC126308|PDI3	"peptidyl arginine deiminase, type III"	0			-1	0	0		-11	93%	0			1	17448179	17483311	PAD_N | PAD | PAD_M
	5168	18606	HomoloGene	ENPP2	ATX|ATX-X|FLJ26803|LysoPLD|NPP2|PD-IALPHA|PDNP2	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	0			-1	1	3		-11	93%	0			8	120638499	120720286	Endonuclease_NS | Phosphodiest | Somatomedin_B
	5173	18610	HomoloGene	PDYN	MGC26418|PENKB	prodynorphin	0			-1	0	0		-11	93%	0			20	1907401	1922701	Opiods_neuropep
	8682	18611	HomoloGene	PEA15	HMAT1|HUMMAT1H|MAT1|MAT1H|PEA-15|PED	phosphoprotein enriched in astrocytes 15	0			-1	0	1	50-75crude	-10	89%	0		6	1	158441748	158451785	DED
	5178	18616	HomoloGene	PEG3	DKFZp781A095|KIAA0287|PW1|ZSCAN24	paternally expressed 3	0			0	1	0		-6	82%	0			19	62015614	62043875	zf-C2H2 | SCAN
GO mito annotation	10400	18618	HomoloGene	PEMT	MGC2483|PEAMT|PEMPT|PEMT2|PNMT	phosphatidylethanolamine N-methyltransferase	0	1		-2	0	1		-2	44%	0			17	17349601	17435718	PEMT
	8863	18628	HomoloGene	PER3	GIG13	period homolog 3 (Drosophila)	0			-1	0	1		-11	93%	0			1	7767349	7827823	PAS_3
GO mito annotation	8799	18632	HomoloGene	PEX11B	PEX11-BETA	peroxisomal biogenesis factor 11B	2			-2	0		25-50ambig	5	9%	1	proteomics	5	1	144227739	144235087	PEX11
	5191	18634	HomoloGene	PEX7	PTS2R|RCDP1|RD	peroxisomal biogenesis factor 7	3			0	0	6		2	17%	0			6	137185415	137276751	WD40
	5207	18639	HomoloGene	PFKFB1	F6PK|HL2K|MGC116715|MGC116717|PFRX	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1"	0			-1	0	0		-11	93%	0			X	54976314	55037234	6PF2K | PGAM
	5211	18641	HomoloGene	PFKL	DKFZp686G1648|DKFZp686L2097|FLJ30173|FLJ40909|PFK-B	"phosphofructokinase, liver"	0			-2	1	0	0-25ambig	-5	71%	0		8	21	44544357	44571688	PFK
	5213	18642	HomoloGene	PFKM	MGC8699|PFK-1	"phosphofructokinase, muscle"	0			-2	2	0	25-50crude	-2	47%	0		5	12	46802816	46826153	PFK
	5217	18645	HomoloGene	PFN2	D3S1319E|PFL	profilin 2	0			-2	1	0	50-75crude	-5	74%	0		4	3	151165380	151171430	Profilin
	5232	18663	HomoloGene	PGK2	PGK-2|PGKB|PGKPS|dJ417L20.2	phosphoglycerate kinase 2	0			-1	0	0	0-25crude	-12	93%	0		6	6	49861322	49862965	PGK
	5241	18667	HomoloGene	PGR	NR3C3|PR	progesterone receptor	0			-1	0			-10	90%	0			11	100414312	100506464	zf-C4 | Prog_receptor | Hormone_recep
	5260	18682	HomoloGene	PHKG1	PHKG	"phosphorylase kinase, gamma 1 (muscle)"	0			0	0			-5	73%	0			7	56116168	56128182	Pkinase
	5277	18700	HomoloGene	PIGA	GPI3|PIG-A	"phosphatidylinositol glycan anchor biosynthesis, class A (paroxysmal nocturnal hemoglobinuria)"	0		0.00000037	-1	0	0		-8	87%	0			X	15247500	15263565	PIGA | Glycos_transf_1
	5284	18703	HomoloGene	PIGR	MGC125361|MGC125362	polymeric immunoglobulin receptor	0			-1		1	0-25ambig	-9	87%	0		3	1	205168494	205186429	ig | V-set
	5286	18704	HomoloGene	PIK3C2A	CPK|DKFZp686L193|MGC142218|PI3-K-C2(ALPHA)|PI3-K-C2A	"phosphoinositide-3-kinase, class 2, alpha polypeptide"	0			-1	1	1	0-25ambig	-9	89%	0		2	11	17067860	17147863	PX | PI3Ka | PI3K_rbd | PI3_PI4_kinase | PI3K_C2 | C2
	5296	18709	HomoloGene	PIK3R2	P85B|p85-BETA	"phosphoinositide-3-kinase, regulatory subunit 2 (p85 beta)"	0			-1	1	1		-11	93%	0			19	18125015	18142342	SH3_1 | RhoGAP | SH2
	8503	18710	HomoloGene	PIK3R3	DKFZp686P05226|FLJ41892|p55-GAMMA	"phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)"	0			0		0		-6	75%	0			1	46278398	46370900	SH2
	11040	18715	HomoloGene	PIM2	-	pim-2 oncogene	0			0	0	2		-6	82%	0			X	48655402	48661227	Pkinase
	5304	18716	HomoloGene	PIP	GCDFP-15|GCDFP15|GPIP4	prolactin-induced protein	0			-1	0	0		-11	93%	0			7	142539295	142546955	SVA
	8395	18719	HomoloGene	PIP5K1B	MSS4|STM7	"phosphatidylinositol-4-phosphate 5-kinase, type I, beta"	0			-1	0	2		-11	93%	0			9	70510435	70813911	PIP5K
	8394	18720	HomoloGene	PIP5K1A	-	"phosphatidylinositol-4-phosphate 5-kinase, type I, alpha"	0			-1	0			-10	90%	0			1	149437695	149488628	PIP5K
	11025	18722	HomoloGene	LILRB3	CD85A|HL9|ILT5|ILT5 016|ILT5 023|ILT5 024|LIR-3|LIR3|MGC138403	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3"	0			-1	0	0		-11	93%	0			19	59412548	59418708	ig
	11025	18725	HomoloGene	LILRB3	CD85A|HL9|ILT5|ILT5 016|ILT5 023|ILT5 024|LIR-3|LIR3|MGC138403	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3"	0			-1				-9	88%	0			19	59412548	59418708	ig
	11025	18726	HomoloGene	LILRB3	CD85A|HL9|ILT5|ILT5 016|ILT5 023|ILT5 024|LIR-3|LIR3|MGC138403	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3"	0			-1				-9	88%	0			19	59412548	59418708	ig
	5306	18738	HomoloGene	PITPNA	MGC99649|PITPN|VIB1A	"phosphatidylinositol transfer protein, alpha"	0		0.001	-1	0	1	0-25crude	-12	93%	0		3	17	1368032	1412834	IP_trans
	9600	18739	HomoloGene	PITPNM1	DRES9|FLJ44997|NIR2|PITPNM|RDGB|RDGB1|RDGBA1|Rd9	"phosphatidylinositol transfer protein, membrane-associated 1"	0			-1	0	0		-11	93%	0			11	67015814	67028415	DDHD | IP_trans | LNS2
	5309	18742	HomoloGene	PITX3	MGC12766|PTX3	paired-like homeodomain transcription factor 3	0			-1	0	1		-11	93%	0			10	103979935	103991220	Homeobox | OAR
	64219	18744	HomoloGene	PJA1	RNF70	praja 1	3			0	1	0		-2	50%	0			X	68297421	68302064	zf-C3HC4
	5567	18749	HomoloGene	PRKACB	DKFZp781I2452|MGC41879|MGC9320|PKACB	"protein kinase, cAMP-dependent, catalytic, beta"	0			0	1	0	0-25ambig	-5	67%	0		6	1	84316332	84476768	Pkinase
	5580	18753	HomoloGene	PRKCD	MAY1|MGC49908|nPKC-delta	"protein kinase C, delta"	0			-1	0	0		-11	93%	0			3	53170262	53201772	C1_1 | Pkinase | Pkinase_C
	5583	18755	HomoloGene	PRKCH	MGC26269|MGC5363|PKC-L|PKCL|PRKCL|nPKC-eta	"protein kinase C, eta"	4			-1	0	0		-8	86%	0			14	60858267	61087450	C1_1 | Pkinase | C2 | Pkinase_C
	10343	18766	HomoloGene	PKDREJ	-	"polycystic kidney disease (polycystin) and REJ homolog (sperm receptor for egg jelly homolog, sea urchin)"	0			-1		1		-10	90%	0			22	45030223	45037882	Ion_trans | PLAT | PKD_channel | REJ
	5569	18767	HomoloGene	PKIA	PRKACN1	"protein kinase (cAMP-dependent, catalytic) inhibitor alpha"	0			-2	0	0		-7	85%	0			8	79590890	79678039	PKI
	5570	18768	HomoloGene	PKIB	FLJ23817|PRKACN2	"protein kinase (cAMP-dependent, catalytic) inhibitor beta"	0			-2	0			-6	76%	0			6	122834760	123089216	PKI
GO mito annotation	10434	18777	HomoloGene	LYPLA1	APT-1|LPL1|LYSOPLA	lysophospholipase I	0		0.00058	-1	1		50-75pure	3	14%	0		14	8	55121490	55177129	Abhydrolase_2
	391013	18781	HomoloGene	RP3-340N1.3	LOC391013	similar to Group IIC secretory phospholipase A2 precursor (Phosphatidylcholine 2-acylhydrolase GIIC) (GIIC sPLA2) (PLA2-8) (14 kDa phospholipase A2)	0			-1	1	0		-11	93%	0			1	20348906	20374273	Phospholip_A2_1
	26279	18782	HomoloGene	PLA2G2D	SPLASH|sPLA2S	"phospholipase A2, group IID"	0			-1	1	0		-11	93%	0			1	20311018	20318594	Phospholip_A2_1
	9373	18786	HomoloGene	PLAA	FLJ11281|FLJ12699|PLA2P|PLAP	phospholipase A2-activating protein	5			-1	1			-8	86%	0			9	26894517	26937137	PFU | PUL | WD40
	5055	18788	HomoloGene	SERPINB2	HsT1201|PAI|PAI-2|PAI2|PLANH2	"serpin peptidase inhibitor, clade B (ovalbumin), member 2"	0			-1	0	0		-11	93%	0			18	59705921	59722099	Serpin
	5328	18792	HomoloGene	PLAU	ATF|UPA|URK|u-PA	"plasminogen activator, urokinase"	0			-1	0	0	0-25ambig	-9	89%	0		1	10	75340895	75347260	Trypsin | Kringle
	5330	18796	HomoloGene	PLCB2	FLJ38135	"phospholipase C, beta 2"	0			-1	2			-7	85%	0			15	38366447	38387329	PI-PLC-Y | efhand_like | PLC-beta_C | PI-PLC-X | C2
	5332	18798	HomoloGene	PLCB4	FLJ16169|PI-PLC	"phospholipase C, beta 4"	0			-1	1			-10	90%	0			20	9024931	9409462	PI-PLC-Y | efhand_like | DUF1154 | PI-PLC-X | C2
	84812	18802	HomoloGene	PLCD4	MGC12837	"phospholipase C, delta 4"	0			-1	0			-10	90%	0			2	219180875	219210147	PI-PLC-Y | PH | efhand_like | PI-PLC-X | efhand | C2
	5335	18803	HomoloGene	PLCG1	PLC-II|PLC1|PLC148|PLCgamma1	"phospholipase C, gamma 1"	0			-1	0	0		-11	93%	0			20	39199574	39237770	SH3_1 | PI-PLC-Y | PH | SH3_2 | PI-PLC-X | C2 | SH2
	23646	18807	HomoloGene	PLD3	HU-K4	"phospholipase D family, member 3"	0			-1	0	2	0-25crude	-12	93%	0		7	19	45546446	45576229	PLD_envelope | PLDc
	5036	18813	HomoloGene	PA2G4	EBP1|p38-2G4	"proliferation-associated 2G4, 38kDa"	0		0.0000042	0	0			-2	51%	0			12	54784691	54793352	Peptidase_M24
	5340	18815	HomoloGene	PLG	DKFZp779M0222	plasminogen	0			-1	0	1	0-25pure	-5	73%	0		2	6	161043272	161094327	Trypsin | PAN_1 | Kringle
	5345	18816	HomoloGene	SERPINF2	A2AP|AAP|ALPHA-2-PI|API|PLI	"serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2"	0			-1	0	2	0-25ambig	-9	89%	0		1	17	1595035	1605307	Serpin
	5347	18817	HomoloGene	PLK1	PLK|STPK13	polo-like kinase 1 (Drosophila)	0			-1	2	0		-8	86%	0			16	23597701	23609188	Pkinase_Tyr | Pkinase | POLO_box
	5351	18822	HomoloGene	PLOD1	LH|LLH|PLOD	"procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1"	0			0	0	0		-6	82%	0			1	11917332	11958180	2OG-FeII_Oxy
	5355	18824	HomoloGene	PLP2	A4|A4-LSB|MGC126187	proteolipid protein 2 (colonic epithelium-enriched)	0			-1	1	0		-11	93%	0			X	48915216	48918381	MARVEL
	5360	18830	HomoloGene	PLTP	-	phospholipid transfer protein	0			-1	1	0		-11	93%	0			20	43960803	43974192	LBP_BPI_CETP | LBP_BPI_CETP_C
	5362	18845	HomoloGene	PLXNA2	FLJ11751|FLJ30634|KIAA0463|OCT|PLXN2	plexin A2	0			-1	1			-10	90%	0			1	206266841	206483738	Plexin_cytopl | PSI | TIG | Sema
	55558	18846	HomoloGene	PLXNA3	6.3|HSSEXGENE|PLEXIN-A3|PLXN3|PLXN4|SEX|XAP-6	plexin A3	0			-1	0	0		-11	93%	0			X	153339816	153355178	Plexin_cytopl | PSI | TIG | Sema
	5375	18857	HomoloGene	PMP2	FABP8|M-FABP|MP2|P2	peripheral myelin protein 2	0			0				-4	65%	0			8	82515115	82522273	Lipocalin
	5376	18858	HomoloGene	PMP22	CMT1A|CMT1E|DSS|GAS-3|HMSNIA|HNPP|MGC20769|Sp110	peripheral myelin protein 22	0			-2	1	0		-7	85%	0			17	15073820	15109368	PMP22_Claudin
	26472	18938	HomoloGene	PPP1R14B	PHI-1|PLCB3N|PNG|SOM172	"protein phosphatase 1, regulatory (inhibitor) subunit 14B"	0			-2	1	0		-7	85%	0			11	63768526	63770988	PP1_inhibitor
	5407	18946	HomoloGene	PNLIPRP1	PLRP1	pancreatic lipase-related protein 1	0			-1	0	0		-11	93%	0			10	118340479	118358675	Lipase | PLAT
	5408	18947	HomoloGene	PNLIPRP2	PLRP2	pancreatic lipase-related protein 2	0			-1	0	0		-11	93%	0			10	118370807	118394643	Lipase | PLAT
	5424	18971	HomoloGene	POLD1	CDC2|POLD	"polymerase (DNA directed), delta 1, catalytic subunit 125kDa"	0			-1	0	0		-11	93%	0			19	55579407	55613081	DNA_pol_B | DNA_pol_B_exo
	5425	18972	HomoloGene	POLD2	-	"polymerase (DNA directed), delta 2, regulatory subunit 50kDa"	5			-1	0	2		-9	87%	0			7	44120811	44129654	DNA_pol_E_B
	5450	18985	HomoloGene	POU2AF1	BOB1|OBF-1|OBF1|OCAB	"POU domain, class 2, associating factor 1"	0			-1	0	0		-11	93%	0			11	110728189	110755625	PD-C2-AF1
	25833	18988	HomoloGene	POU2F3	Epoc-1|FLJ40063|MGC126698|OCT11|PLA-1|Skn-1a	"POU domain, class 2, transcription factor 3"	0			-1	0	1		-11	93%	0			11	119616255	119695862	Homeobox | Pou
	5456	18994	HomoloGene	POU3F4	BRAIN-4|BRN4|DFN3|OTF9	"POU domain, class 3, transcription factor 4"	0			-1	0			-10	90%	0			X	82649956	82651430	Homeobox | Pou
	8909	19011	HomoloGene	P11	MGC133268|PP11|PRSS26-PENDING	26 serine protease	0			-1	0	0		-11	93%	0			12	46389794	46405616	Somatomedin_B
	8611	19012	HomoloGene	PPAP2A	LLP1a|LPP1|PAP-2a|PAP2|PAP2a2|PAP2alpha2|PAPalpha1	phosphatidic acid phosphatase type 2A	0			-1	1	3		-11	93%	0			5	54756438	54866629	PAP2
	5467	19015	HomoloGene	PPARD	FAAR|MGC3931|NR1C2|NUC1|NUCI|NUCII|PPAR-beta|PPARB	peroxisome proliferator-activated receptor delta	0			-1	0			-10	90%	0			6	35418312	35503932	zf-C4 | Hormone_recep
	5470	19023	HomoloGene	PPEF2	-	"protein phosphatase, EF-hand calcium binding domain 2"	0			-1	1	0		-11	93%	0			4	77000048	77042704	PPP5 | IQ | Metallophos | efhand
	8495	19024	HomoloGene	PPFIBP2	Cclp1|DKFZp781K06126|MGC42541	"PTPRF interacting protein, binding protein 2 (liprin beta 2)"	0			-1	0	0		-11	93%	0			11	7491625	7631557	Integrase_DNA | SAM_1 | SAM_2
	5479	19035	HomoloGene	PPIB	CYP-S1|CYPB|MGC14109|MGC2224|SCYLP	peptidylprolyl isomerase B (cyclophilin B)	0			0	1	1	50-75crude	-5	69%	0		13	15	62235066	62242406	Pro_isomerase
	5480	19038	HomoloGene	PPIC	CYPC|MGC3673	peptidylprolyl isomerase C (cyclophilin C)	0			0	0	1		-6	82%	0			5	122386976	122400323	Pro_isomerase
	5493	19041	HomoloGene	PPL	KIAA0568|MGC134872	periplakin	4			-2	0			-3	53%	0			16	4872508	4927136	M | Pox_A_type_inc
	5495	19043	HomoloGene	PPM1B	MGC21657|PP2C-beta-X|PP2CB|PP2CBETA|PPC2BETAX	"protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform"	0			0	2	0		-3	59%	0			2	44249503	44315245	PP2C_C | PP2C
GO mito annotation	5501	19047	HomoloGene	PPP1CC	PPP1G	"protein phosphatase 1, catalytic subunit, gamma isoform"	0			-1	0	0	25-50ambig	-7	82%	0		9	12	109642126	109665049	Metallophos
	84152	19049	HomoloGene	PPP1R1B	DARPP-32|DARPP32|FLJ20940	"protein phosphatase 1, regulatory (inhibitor) subunit 1B (dopamine and cAMP regulated phosphoprotein, DARPP-32)"	0			-2	0	0		-7	85%	0			17	35036704	35046403	DARPP-32
GO mito annotation	5515	19052	HomoloGene	PPP2CA	PP2Ac|PP2CA|RP-C	"protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform"	0			-1		0		-10	90%	0			5	133560046	133589848	Metallophos
	5532	19056	HomoloGene	PPP3CB	CALNA2|CALNB	"protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform (calcineurin A beta)"	0			-1	2		0-25ambig	-5	72%	0		4	10	74866617	74925757	Metallophos
	5533	19057	HomoloGene	PPP3CC	CALNA3	"protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform (calcineurin A gamma)"	5			-1	3			-4	62%	0			8	22354540	22454582	Metallophos
	5534	19058	HomoloGene	PPP3R1	CALNB1|CNB|CNB1	"protein phosphatase 3 (formerly 2B), regulatory subunit B, 19kDa, alpha isoform (calcineurin B, type I)"	0			0	0		25-50crude	-4	62%	0		4	2	68259492	68333154	efhand
	4927	19069	HomoloGene	NUP88	MGC8530	nucleoporin 88kDa	0			-2	1	0		-7	85%	0			17	5230143	5263719	
	5553	19074	HomoloGene	PRG2	BMPG|MBP|MGC14537	"proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein)"	0			-1	0	0	25-50ambig	-7	82%	0		7	11	56911409	56914705	Lectin_C
	5558	19076	HomoloGene	PRIM2A	MGC75142|PRIM2|p58	"primase, polypeptide 2A, 58kDa"	3			-2	0	1		-3	54%	0			6	57290380	57621334	DNA_primase_lrg
	5575	19085	HomoloGene	PRKAR1B	PRKAR1	"protein kinase, cAMP-dependent, regulatory, type I, beta"	0			-1	0	0		-11	93%	0			7	555912	718658	cNMP_binding | RIIa
	5576	19087	HomoloGene	PRKAR2A	MGC3606|PKR2|PRKAR2	"protein kinase, cAMP-dependent, regulatory, type II, alpha"	0			-1	0			-10	90%	0			3	48763096	48860273	cNMP_binding | RIIa
GO mito annotation	5577	19088	HomoloGene	PRKAR2B	PRKAR2|RII-BETA	"protein kinase, cAMP-dependent, regulatory, type II, beta"	0			-1	1			-10	90%	0			7	106472413	106589491	cNMP_binding | RIIa
	5600	19094	HomoloGene	MAPK11	P38B|P38BETA2|PRKM11|SAPK2|SAPK2B|p38-2|p38Beta	mitogen-activated protein kinase 11	4			0	1			-2	48%	0			22	49044268	49050905	Pkinase
	5610	19106	HomoloGene	EIF2AK2	EIF2AK1|MGC126524|PKR|PRKR	eukaryotic translation initiation factor 2-alpha kinase 2	0			0	0	0		-6	82%	0			2	37187202	37237571	dsrm | Pkinase
	5618	19116	HomoloGene	PRLR	hPRLrI	prolactin receptor	0			0	0	3		-6	82%	0			5	35099984	35266333	fn3
	5626	19127	HomoloGene	PROP1	-	"prophet of Pit1, paired-like homeodomain transcription factor"	0			-1	0	0		-11	93%	0			5	177351841	177355848	Homeobox
	5627	19128	HomoloGene	PROS1	PROS|PS 26|PS21|PS22|PS23|PS24|PS25|PSA|Protein S|protein Sa	protein S (alpha)	0			-1	0			-10	90%	0			3	95074646	95175394	Laminin_G_2 | Gla | EGF | EGF_CA | Laminin_G_1
	5554	19131	MGI	PRH1	MGC74956|Pa	proline-rich protein HaeIII subfamily 1	0			-2	3	2		-2	52%	0			12	10924826	10928118	
	5631	19139	HomoloGene	PRPS1	KIAA0967|PRS I|PRSI	phosphoribosyl pyrophosphate synthetase 1	0			-1	1	1	0-25ambig	-9	89%	0		4	X	106758414	106780911	Pribosyltran
	5653	19144	HomoloGene	KLK6	Bssp|Klk7|MGC9355|NEUROSIN|PRSS18|PRSS9|SP59|ZYME|hK6	kallikrein-related peptidase 6	0			0	0	1		-6	82%	0			19	56153698	56164740	Trypsin
	5651	19146	HomoloGene	PRSS7	ENTK|MGC133046	"protease, serine, 7 (enterokinase)"	0			-1	0	1		-11	93%	0			21	18563560	18697840	Trypsin | SRCR | Ldl_recept_a | SEA | MAM | CUB
	9520	19155	HomoloGene	NPEPPS	MP100|PSA	aminopeptidase puromycin sensitive	3			0	1	1	25-50ambig	2	15%	0		12	17	42963602	43055633	Peptidase_M1
	9267	19157	HomoloGene	PSCD1	B2-1|CYTOHESIN-1|D17S811E|FLJ34050|FLJ41900|SEC7	"pleckstrin homology, Sec7 and coiled-coil domains 1(cytohesin 1)"	0		2.60E-27	-1	3	0		-4	62%	0			17	74181726	74289970	PH | Sec7
GO mito annotation	5663	19164	HomoloGene	PSEN1	AD3|FAD|PS1|S182	presenilin 1 (Alzheimer disease 3)	0			-1	0	0		-11	93%	0			14	72672931	72756861	Presenilin
	5683	19166	HomoloGene	PSMA2	HC3|MU|PMSA2|PSC2	"proteasome (prosome, macropain) subunit, alpha type, 2"	0			-1	0		25-50crude	-8	87%	0		7	7	42922984	42938329	Proteasome
	5684	19167	HomoloGene	PSMA3	HC8|MGC12306|MGC32631|PSC3	"proteasome (prosome, macropain) subunit, alpha type, 3"	0			-1	0	4	0-25ambig	-9	89%	0		7	14	57781345	57808478	Proteasome
	5689	19170	HomoloGene	PSMB1	FLJ25321|HC5|KIAA1838|PMSB1|PSC5	"proteasome (prosome, macropain) subunit, beta type, 1"	0			-1	2	2	0-25ambig	-6	78%	0		7	6	170686133	170704311	Proteasome
	5692	19172	HomoloGene	PSMB4	HN3|HsN3|PROS26	"proteasome (prosome, macropain) subunit, beta type, 4"	0			-1	1	6		-7	86%	0			1	149638664	149641035	Proteasome
	5700	19179	HomoloGene	PSMC1	MGC24583|MGC8541|P26S4|S4|p56	"proteasome (prosome, macropain) 26S subunit, ATPase, 1"	0		7.70E-49	0	0			-2	51%	0			14	89792646	89808718	AAA
	5701	19181	HomoloGene	PSMC2	MGC3004|MSS1|Nbla10058|S7	"proteasome (prosome, macropain) 26S subunit, ATPase, 2"	0		2.90E-49	0	1	3		-3	61%	0			7	102775324	102795891	AAA
	29893	19183	HomoloGene	PSMC3IP	GT198|TBPIP	PSMC3 interacting protein	0			-1	0			-10	90%	0			17	37977858	37983379	TBPIP
	5710	19185	HomoloGene	PSMD4	AF|AF-1|ASF|MCB1|Rpn10|S5A|pUB-R5	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 4"	0			-1	0	2		-11	93%	0			1	149493820	149506578	UIM
	5720	19186	HomoloGene	PSME1	IFI5111|MGC8628|PA28A|PA28alpha|REGalpha	"proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)"	0			-2	0	1	25-50crude	-5	74%	0		2	14	23675217	23678015	PA28_beta | PA28_alpha
	5721	19188	MGI	PSME2	PA28B|PA28beta|REGbeta	"proteasome (prosome, macropain) activator subunit 2 (PA28 beta)"	0			-2	0			-6	76%	0			14	23682413	23685694	PA28_beta | PA28_alpha
	10197	19192	HomoloGene	PSME3	Ki|PA28-gamma|PA28G|REG-GAMMA	"proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)"	0			-2	1	2		-7	85%	0			17	38238948	38249302	PA28_beta | PA28_alpha
	51268	19193	HomoloGene	PIPOX	LPIPOX	pipecolic acid oxidase	0			0	2	5	25-50crude	2	15%	0		2	17	24394043	24408361	DAO
	140683	19194	HomoloGene	C20orf70	SPLUNC2|bA49G10.1	chromosome 20 open reading frame 70	0			-1	0	0		-11	93%	0			20	31219620	31232883	LBP_BPI_CETP
	5727	19206	HomoloGene	PTCH1	BCNS|FLJ42602|HPE7|NBCCS|PTC|PTC1|PTCH	patched homolog 1 (Drosophila)	3			-1	1	0		-7	85%	0			9	97246207	97310651	Patched
	9317	19212	HomoloGene	PTER	RPR-1	phosphotriesterase related	0			-2	0			-6	76%	0			10	16518972	16595741	PTE
	5732	19217	HomoloGene	PTGER2	EP2	"prostaglandin E receptor 2 (subtype EP2), 53kDa"	0			-1	0	0		-11	93%	0			14	51850862	51865073	7tm_1
	5734	19219	HomoloGene	PTGER4	EP4|EP4R|MGC126583	prostaglandin E receptor 4 (subtype EP4)	0			-1	1			-10	90%	0			5	40715788	40729593	7tm_1
	5737	19220	HomoloGene	PTGFR	FP|MGC120498|MGC46203	prostaglandin F receptor (FP)	0			-1	0	0		-11	93%	0			1	78729315	78778973	7tm_1
	5739	19222	HomoloGene	PTGIR	IP|MGC102830|PRIPR	prostaglandin I2 (prostacyclin) receptor (IP)	0			-2	0	0		-7	85%	0			19	51815564	51820193	7tm_1
	5744	19227	HomoloGene	PTHLH	HHM|MGC14611|PLP|PTHR|PTHRP	parathyroid hormone-like hormone	0			-1	0	0		-11	93%	0			12	28002283	28016182	Parathyroid
	5745	19228	HomoloGene	PTHR1	MGC138426|MGC138452|PTHR	parathyroid hormone receptor 1	0			-1	0	2		-11	93%	0			3	46894239	46920292	7tm_2 | HRM
	9168	19240	MGI	TMSB10	MIG12	"thymosin, beta 10"	0			-2	1	0		-7	85%	0			2	84986273	84987309	Thymosin
	8073	19244	HomoloGene	PTP4A2	HH13|HH7-2|HU-PP-1|OV-1|PRL-2|PRL2|PTP4A|PTPCAAX2|ptp-IV1a|ptp-IV1b	"protein tyrosine phosphatase type IVA, member 2"	0			-1	1	1	25-50ambig	-7	82%	0		1	1	32146379	32176574	Y_phosphatase
	11156	19245	HomoloGene	PTP4A3	PRL-3|PRL-R|PRL3	"protein tyrosine phosphatase type IVA, member 3"	2			-1	1	0		-5	70%	0			8	142501188	142510801	Y_phosphatase
	5781	19247	HomoloGene	PTPN11	BPTP3|CFC|MGC14433|NS1|PTP-1D|PTP2C|SH-PTP2|SH-PTP3|SHP2	"protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)"	0			-1	0	1		-11	93%	0			12	111340918	111432099	Y_phosphatase | SH2
	1843	19252	HomoloGene	DUSP1	CL100|HVH1|MKP-1|PTPN10	dual specificity phosphatase 1	0			0	2	0		-3	59%	0			5	172127706	172130808	DSPc | Rhodanese
	5771	19255	HomoloGene	PTPN2	PTPT|TC-PTP|TCELLPTP|TCPTP	"protein tyrosine phosphatase, non-receptor type 2"	0			-1	1			-10	90%	0			18	12775479	12874333	Y_phosphatase
	653129	19256	HomoloGene	PTPN20A	MGC142033|bA142I17.1	"protein tyrosine phosphatase, non-receptor type 20A"	0			-1	0	1		-11	93%	0			10	45970128	46061008	Y_phosphatase
	84867	19259	HomoloGene	PTPN5	FLJ14427|PTPSTEP|STEP	"protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched)"	0			-1	0	0		-11	93%	0			11	18706050	18769964	Y_phosphatase
	26191	19260	HomoloGene	PTPN22	LYP|Lyp1|Lyp2|PEP|PTPN8	"protein tyrosine phosphatase, non-receptor type 22 (lymphoid)"	0			-1	0	1		-11	93%	0			1	114157959	114215856	Y_phosphatase
	5786	19262	HomoloGene	PTPRA	HEPTP|HLPR|HPTPA|HPTPalpha|LRP|PTPA|PTPRL2|R-PTP-alpha|RPTPA	"protein tyrosine phosphatase, receptor type, A"	0			-1	0	0		-11	93%	0			20	2792829	2967314	Y_phosphatase
